id,name,created_at,updated_at,client_short,platform_name
be09218d-4a8a-4a9a-9c3d-1ee57426bc19,Georgia Institute of Technology (Georgia Tech),2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,GTECH,GEORGIA TEC
c20a7f19-3925-4ff5-ba95-6d2e0062099f,ROAR,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,ROR,ROAR
c7cf5e9a-4945-464f-9e9d-d21b46b5178a,Abaxis,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,ABAX,ABAXIS
d0d31eb3-86ad-46dc-8969-18c761353f92,SUNY Delhi,2025-05-29 23:20:20.358721+00,2025-05-29 23:20:20.358721+00,SUNYD,SUNY DELHI
d152a6c7-4761-4102-8cd1-83767fb1d086,CUNY - School of Professional Studies,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,CSOPS,CUNY SPS
d236cb2e-1d04-4154-8a9d-0dfef76d0fc4,Alnylam Pharmaceuticals,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,ALPH,ALNYLAM
d5251754-dacb-496a-91b3-cadf966d91f9,Central Piedmont Community College,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,CPCC,PIEDMONT CC
dcd414f8-e519-4588-9ceb-951033a37e6e,MSC Direct,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,MSDI,MSC DIRECT
df484a19-04c6-42db-b221-d2e3abb5bb10,Dartmouth College,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,DART,DARTHMOUTH
e0aad682-1697-4f94-a9e8-881eb470d402,NBC / Comcast,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,NBC,NBC
e30becbf-ee04-413d-b187-9d00ebe6af9b,The Peregrine Fund,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,PERE,PEREGRINE
e53c5bae-485b-4eb7-b72a-fffe9b9b720c,City of Raleigh,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,COR,CITY RALEIGH
e6f15e8a-3f9b-47ec-ba3e-3a1dc6e80d23,Inperium,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,IMP,INPERIUM
ecdf9979-9b9b-4cb1-955f-c49c0251cfea,Princeton University,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,PRIN,PRINCETON
f03249b0-483c-41c2-b808-8b30cf3340bf,Penn State University,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,PSU,PENN STATE
f23c37e8-172f-4b12-83d1-6db0249b4227,Children's Health,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,CHEA,CHILDREN HE
f2aa4ca5-a3c4-4382-af85-36197b4bccae,Campari,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,CAMP,CAMPARI
f519f60e-320a-41fb-89a7-2be97eef6b5e,Spokane International Airport (GEG),2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,SPO,SPOKANE INT
fbafad95-9585-4bcf-b452-baecb65d86f7,Northeast Bank,2025-05-22 17:51:21.242854+00,2025-05-22 17:51:21.242854+00,NOBA,NORTHE BANK
